VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-04-01 01:03:08,2020-04-01 01:07:30,1,.63,1,N,238,151,2,5,0.5,0.5,0,0,0.3,6.3,0
1,2020-04-01 01:09:12,2020-04-01 01:17:28,0,1.50,1,N,161,137,3,8,3,0.5,0,0,0.3,11.8,2.5
2,2020-04-01 01:53:02,2020-04-01 02:04:32,1,2.50,1,N,137,211,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
1,2020-04-01 01:42:58,2020-04-01 01:47:50,1,1.60,1,N,164,162,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5
2,2020-04-01 01:26:38,2020-04-01 01:33:30,1,1.60,1,N,48,48,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020-04-01 01:38:38,2020-04-01 01:55:25,1,6.70,1,N,48,167,2,20.5,0.5,0.5,0,0,0.3,24.3,2.5
1,2020-04-01 01:28:00,2020-04-01 01:33:04,1,1.00,1,N,238,236,2,6,0.5,0.5,0,0,0.3,7.3,0
2,2020-04-01 01:51:09,2020-04-01 01:55:36,1,1.21,1,N,145,226,1,6,0.5,0.5,4,0,0.3,11.3,0
1,2020-04-01 01:34:21,2020-04-01 01:40:22,1,1.20,1,N,163,143,1,6.5,3,0.5,1.5,0,0.3,11.8,2.5
2,2020-04-01 01:34:19,2020-04-01 01:58:28,1,8.41,1,N,140,37,2,26.5,0.5,0.5,0,0,0.3,30.3,2.5
1,2020-04-01 01:48:40,2020-04-01 01:51:25,1,.60,1,N,179,179,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2020-04-01 01:01:36,2020-04-01 01:12:53,1,3.75,1,N,42,247,2,13.5,0.5,0.5,0,0,0.3,14.8,0
2,2020-04-01 01:07:57,2020-04-01 01:42:52,1,16.81,1,N,249,174,2,46.5,0.5,0.5,0,0,0.3,50.3,2.5
2,2020-04-01 01:18:35,2020-04-01 01:23:18,6,.62,1,N,42,42,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2020-04-01 01:31:48,2020-04-01 01:36:17,4,.97,1,N,74,42,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2020-04-01 01:10:51,2020-04-01 01:32:39,1,5.45,1,N,186,65,2,20,0.5,0.5,0,0,0.3,23.8,2.5
2,2020-04-01 01:30:45,2020-04-01 01:45:00,1,7.49,1,N,238,47,1,22,0.5,0.5,0,0,0.3,25.8,2.5
1,2020-04-01 01:30:16,2020-04-01 01:33:04,1,.60,1,N,48,163,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
2,2020-04-01 01:59:26,2020-04-01 02:04:32,1,.73,1,N,230,50,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2020-04-01 01:06:21,2020-04-01 01:09:05,1,.72,1,N,137,137,1,4.5,0.5,0.5,2,0,0.3,10.3,2.5
2,2020-04-01 01:16:34,2020-04-01 01:23:20,1,1.85,1,N,137,100,4,-8,-0.5,-0.5,2.36,0,-0.3,-9.44,-2.5
2,2020-04-01 01:16:34,2020-04-01 01:23:20,1,1.85,1,N,137,48,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-04-01 01:37:12,2020-04-01 02:03:08,2,12.17,1,N,237,14,1,35,0.5,0.5,5.82,0,0.3,46.57,2.5
1,2020-04-01 01:02:35,2020-04-01 01:05:50,1,.50,1,N,140,141,1,4.5,3,0.5,1.25,0,0.3,9.55,2.5
2,2020-04-01 01:21:29,2020-04-01 01:23:20,5,.71,1,N,244,116,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2020-04-01 01:48:44,2020-04-01 01:58:06,5,2.80,1,N,41,42,2,11,0.5,0.5,0,0,0.3,12.3,0
2,2020-04-01 01:01:09,2020-04-01 01:04:39,1,.69,1,N,48,48,1,4.5,0.5,0.5,1.66,0,0.3,11.91,2.5
2,2020-04-01 01:06:02,2020-04-01 01:08:34,1,1.02,1,N,230,186,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020-04-01 01:15:10,2020-04-01 01:21:46,1,1.66,1,N,249,45,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
1,2020-04-01 01:44:09,2020-04-01 01:48:59,3,.70,1,N,74,75,2,5.5,0.5,0.5,0,0,0.3,6.8,0
1,2020-04-01 01:55:57,2020-04-01 01:58:16,1,.90,1,N,75,74,2,4.5,0.5,0.5,0,0,0.3,5.8,0
1,2020-04-01 01:19:22,2020-04-01 01:33:20,1,5.20,1,N,142,4,1,17.5,3,0.5,5.3,0,0.3,26.6,2.5
2,2020-04-01 01:06:37,2020-04-01 01:16:18,1,2.18,1,N,142,68,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2020-04-01 01:47:28,2020-04-01 01:50:08,1,.99,1,N,74,263,2,5,0.5,0.5,0,0,0.3,6.3,0
1,2020-04-01 01:19:52,2020-04-01 01:22:51,1,.60,1,N,41,74,2,4.5,0.5,0.5,0,0,0.3,5.8,0
1,2020-04-01 01:54:46,2020-04-01 02:05:21,1,2.30,1,N,42,167,2,11,0.5,0.5,0,0,0.3,12.3,0
2,2020-04-01 01:51:36,2020-04-01 01:57:59,1,1.88,1,N,152,244,2,7.5,0.5,0.5,0,0,0.3,8.8,0
1,2020-04-01 01:02:21,2020-04-01 01:09:59,1,3.00,1,N,74,162,2,10,3,0.5,0,0,0.3,13.8,2.5
2,2020-04-01 01:13:19,2020-04-01 01:32:03,1,7.01,1,N,170,198,2,22.5,0.5,0.5,0,6.12,0.3,32.42,2.5
2,2020-04-01 01:05:08,2020-04-01 01:16:21,1,2.78,1,N,162,238,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2020-04-01 00:59:19,2020-04-01 01:09:30,1,2.69,1,N,68,79,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2020-04-01 01:31:14,2020-04-01 01:35:00,1,1.03,1,N,186,50,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
1,2020-04-01 01:34:01,2020-04-01 01:37:20,1,.20,1,N,140,140,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,2020-04-01 01:28:28,2020-04-01 01:43:37,1,5.30,1,N,68,74,1,17,3,0.5,0,0,0.3,20.8,2.5
1,2020-04-01 01:46:39,2020-04-01 01:51:33,1,.90,1,N,74,42,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2020-04-01 01:34:31,2020-04-01 01:46:14,1,2.67,1,N,137,48,1,11,0.5,0.5,3.7,0,0.3,18.5,2.5
1,2020-04-01 01:35:07,2020-04-01 01:46:27,1,2.30,1,N,48,107,2,10.5,3,0.5,0,0,0.3,14.3,2.5
1,2020-04-01 01:06:40,2020-04-01 01:17:58,0,2.70,1,N,75,159,2,10.5,0.5,0.5,0,0,0.3,11.8,0
1,2020-04-01 01:08:41,2020-04-01 01:17:00,1,2.00,1,N,238,152,2,9,0.5,0.5,0,0,0.3,10.3,0
1,2020-04-01 01:30:18,2020-04-01 01:37:25,1,1.70,1,N,238,75,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2020-04-01 01:36:08,2020-04-01 01:50:22,1,4.05,1,N,140,226,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
1,2020-04-01 01:04:07,2020-04-01 01:22:18,1,7.40,1,N,237,95,1,23.5,3,0.5,5.45,0,0.3,32.75,2.5
2,2020-04-01 01:08:03,2020-04-01 01:16:02,1,2.38,1,N,151,143,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020-04-01 01:26:23,2020-04-01 01:29:00,1,.48,1,N,238,238,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2020-04-01 01:01:10,2020-04-01 01:14:34,4,3.70,1,N,249,256,2,14,0.5,0.5,0,0,0.3,17.8,2.5
2,2020-03-07 12:35:20,2020-03-07 12:44:12,1,.97,1,N,79,113,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2020-03-07 13:06:13,2020-03-07 13:20:50,1,3.02,1,N,107,236,1,12.5,0.5,0.5,2.5,0,0.3,18.8,2.5
1,2020-04-01 02:17:15,2020-04-01 02:29:25,1,3.10,1,N,75,159,2,12,0.5,0.5,0,0,0.3,13.3,0
1,2020-04-01 02:32:53,2020-04-01 02:39:57,1,1.70,1,N,168,47,2,7.5,0.5,0.5,0,0,0.3,8.8,0
1,2020-04-01 02:04:12,2020-04-01 02:08:55,1,1.10,1,N,264,264,1,6,0.5,0.5,0,0,0.3,7.3,0
2,2020-04-01 02:30:40,2020-04-01 02:40:03,1,4.05,1,N,238,48,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
1,2020-04-01 02:13:27,2020-04-01 02:16:30,1,1.50,1,N,137,79,2,6,3,0.5,0,0,0.3,9.8,2.5
2,2020-04-01 02:24:55,2020-04-01 02:35:11,3,4.85,1,N,107,112,1,15,0.5,0.5,4.7,0,0.3,23.5,2.5
2,2020-04-01 02:25:38,2020-04-01 02:26:05,1,.08,1,N,170,170,4,-2.5,-0.5,-0.5,0,0,-0.3,-6.3,-2.5
2,2020-04-01 02:25:38,2020-04-01 02:26:05,1,.08,1,N,170,170,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,2020-04-01 02:28:12,2020-04-01 02:39:49,1,3.50,1,N,249,66,3,13,3,0.5,0,0,0.3,16.8,2.5
2,2020-04-01 02:14:45,2020-04-01 02:22:02,1,1.97,1,N,48,249,2,8,0.5,0.5,0,0,0.3,11.8,2.5
